Timestamp,"
What age range are you in?",Was your holiday ,What was the main purpose of your Holiday,How did you book your holiday,How recent was this holiday,How would you describe your holiday type,How many people were in your travel group?,Approximately how much did your accommodation cost per room per night (€)?,How many nights did your holiday last?,"Overall Holiday Cost - Approximate total spend for all travellers (€), including  cost of holiday + daily spending.",How satisfied were you with your holiday overall?,Would You Take This Type of Holiday Again?,Did You Travel by Air?,How many holidays have you taken in the last 12 months?
25/09/2026 12:25,65+,A Holiday abroad (outside Ireland),"To attend an event (concert, Football match etc)",Independently Booked online,Greater than 3 months ago but within the last 6 months,A holiday with friends,6,100,3,800,5,Yes,Yes,2
25/09/2026 12:25,55-64,A Holiday abroad (outside Ireland),Beach Holiday abroad,A package holiday,In last 3 months,A family holiday,2,150,5,3000,3,Yes,Yes,3
25/09/2026 12:27,65+,A Holiday abroad (outside Ireland),Beach Holiday abroad,Independently Booked online,In last 3 months,A family holiday,4,70,28,4800,5,Yes,No,4
25/09/2026 12:29,65+,A Holiday abroad (outside Ireland),City Break,Independently Booked online,Greater than 3 months ago but within the last 6 months,A holiday with friends,6,50,3,500,5,Yes,Yes,2
25/09/2026 12:32,25-34,A Holiday abroad (outside Ireland),Other,Independently Booked online,Greater than 3 months ago but within the last 6 months,A holiday with friends,3,115,6,3000,5,Yes,Yes,3
25/09/2026 12:34,35-44,A Holiday abroad (outside Ireland),Beach Holiday abroad,Independently Booked online,In last 3 months,A family holiday,5,60,14,5000,5,Yes,Yes,1
25/09/2026 12:34,45-54,A Holiday abroad (outside Ireland),"To attend an event (concert, Football match etc)",Independently Booked online,Greater than 3 months ago but within the last 6 months,A holiday with friends,6,53,3,600,5,Yes,Yes,4
25/09/2026 12:35,55-64,A Holiday abroad (outside Ireland),City Break,Independently Booked online,In last 3 months,A holiday with friends,4,150,7,1450,4,Yes,Yes,1
25/09/2026 12:36,45-54,A Holiday abroad (outside Ireland),Beach Holiday abroad,Independently Booked online,In last 3 months,A family holiday,2,110,7,2000,5,Yes,Yes,4
25/09/2026 12:43,45-54,A Holiday abroad (outside Ireland),Beach Holiday abroad,Independently Booked online,Between 6 and 12 Months ago,A family holiday,4,150,11,5000,5,Yes,Yes,2
25/09/2026 12:45,45-54,A Holiday abroad (outside Ireland),Beach Holiday abroad,Independently Booked online,Greater than 3 months ago but within the last 6 months,A family holiday,2,100,7,1500,4,Yes,Yes,3
25/09/2026 12:49,55-64,A Holiday abroad (outside Ireland),Beach Holiday abroad,A package holiday,Greater than 3 months ago but within the last 6 months,A family holiday,2,150,7,1050,4,Yes,Yes,1
25/09/2026 12:50,45-54,A Holiday abroad (outside Ireland),Beach Holiday abroad,Independently Booked online,Between 6 and 12 Months ago,A family holiday,4,150,11,5000,4,Yes,Yes,1
25/09/2026 12:50,65+,A Holiday abroad (outside Ireland),Beach Holiday abroad,A package holiday,Greater than 3 months ago but within the last 6 months,A family holiday,2,300,10,3000,4,Yes,Yes,3
